Date,total-currently-infected-linear,deaths-cured-outcome-small,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily,cases-cured-daily,deaths-cured-outcome
Feb 15,0,0,0,0,,0,0,0,0,0,0
Feb 16,0,0,0,0,,0,0,0,0,0,0
Feb 17,0,0,0,0,,0,0,0,0,0,0
Feb 18,0,0,0,0,,0,0,0,0,0,0
Feb 19,0,0,0,0,,0,0,0,0,0,0
Feb 20,0,0,0,0,,0,0,0,0,0,0
Feb 21,0,0,0,0,,0,0,0,0,0,0
Feb 22,0,0,0,0,,0,0,0,0,0,0
Feb 23,0,0,0,0,,0,0,0,0,0,0
Feb 24,0,0,0,0,,0,0,0,0,0,0
Feb 25,1,0,1,1,,1,0,0,0,0,0
Feb 26,1,,1,1,0,1,0,0,0,0,
Feb 27,1,,1,1,0,1,0,0,0,0,
Feb 28,1,,1,1,0,1,0,0,0,0,
Feb 29,2,,2,2,1,2,0,0,0,0,
Mar 01,2,,2,2,0,2,0,0,0,0,
Mar 02,2,,2,2,0,2,0,0,0,0,
Mar 03,2,,2,2,0,2,0,0,0,0,
Mar 04,3,,3,3,1,3,0,0,0,0,
Mar 05,8,,8,8,5,8,0,0,0,0,
Mar 06,13,,13,13,5,13,0,0,0,0,
Mar 07,19,,19,19,6,19,0,0,0,0,
Mar 08,25,,25,25,6,25,0,0,0,0,
Mar 09,25,,25,25,0,25,0,0,0,0,
Mar 10,34,,34,34,9,34,0,0,0,0,
Mar 11,52,,52,52,18,52,0,0,0,0,
Mar 12,77,,77,77,25,77,0,0,0,0,
Mar 13,150,0,151,151,74,150,0,0,0,1,0
Mar 14,150,0,151,151,0,150,0,0,0,0,0
Mar 15,198,0,200,200,49,198,0,0,0,1,0
Mar 16,232,0,234,234,34,232,0,0,0,0,0
Mar 17,343,33.33,346,346,112,343,1,1,1,0,33.33
Mar 18,523,66.67,529,529,183,523,4,4,3,0,66.67
Mar 19,631,77.78,640,640,111,631,7,7,3,0,77.78
Mar 20,957,84.62,970,970,330,957,11,11,4,0,84.62
Mar 21,1158,90,1178,1178,208,1158,18,18,7,0,90
Mar 22,1519,92.59,1546,1546,368,1519,25,25,7,0,92.59
Mar 23,1888,94.44,1924,1924,378,1888,34,34,9,0,94.44
Mar 24,2199,95.83,2247,2247,323,2199,46,46,12,0,95.83
Mar 25,2493,96.72,2554,2554,307,2493,59,59,13,0,96.72
Mar 26,2902,92.77,2985,2985,431,2902,77,77,18,4,92.77
Mar 27,3319,93.88,3417,3417,432,3319,92,92,15,0,93.88
Mar 28,3784,95,3904,3904,487,3784,114,114,22,0,95
Mar 29,4114,95.77,4256,4256,352,4114,136,136,22,0,95.77
Mar 30,4347,57.6,4630,4630,374,4347,163,163,27,114,57.6
Mar 31,5389,61.28,5717,5717,1087,5389,201,201,38,7,61.28
Apr 01,6511,65.58,6880,6880,1163,6511,242,242,41,0,65.58
Apr 02,7593,71.84,8044,8044,1164,7593,324,324,82,0,71.84
Apr 03,8704,74.08,9194,9194,1150,8704,363,363,39,0,74.08
Apr 04,9788,77.8,10360,10360,1166,9788,445,445,82,0,77.8
Apr 05,10641,79.28,11254,11254,894,10641,486,486,41,0,79.28
Apr 06,11492,81.62,12183,12183,929,11492,564,564,78,0,81.62
Apr 07,13221,84.38,14034,14034,1851,13221,686,686,122,0,84.38
Apr 08,15241,86.59,16188,16188,2154,15241,820,820,134,0,86.59
Apr 09,17018,84.65,18145,18145,1957,17018,954,954,134,46,84.65
Apr 10,18548,86.06,19789,19789,1644,18548,1068,1068,114,0,86.06
Apr 11,19649,86.82,20962,20962,1173,19649,1140,1140,72,0,86.82
Apr 12,20796,87.61,22192,22192,1230,20796,1223,1223,83,0,87.61
Apr 13,21929,88.47,23430,23430,1238,21929,1328,1328,105,0,88.47
Apr 14,9704,9.85,25262,25262,1832,9704,1532,1532,204,13853,9.85
Apr 15,12827,11.13,28610,28610,3348,12827,1757,1757,225,0,11.13
Apr 16,14710,12.19,30683,30683,2073,14710,1947,1947,190,0,12.19
Apr 17,17515,13.24,33682,33682,2999,17515,2141,2141,194,0,13.24
Apr 18,20335,14.41,36722,36722,3040,20335,2361,2361,220,0,14.41
Apr 19,14062,10.01,38654,38654,1932,14062,2462,2462,101,8104,10.01
Apr 20,16026,10.47,40743,40743,2089,16026,2587,2587,125,0,10.47
Apr 21,16013,10.13,43079,43079,2336,16013,2741,2741,154,2195,10.13
Apr 22,17533,10.3,45757,45757,2678,17533,2906,2906,165,993,10.3
Apr 23,19606,11.09,49492,49492,3735,19606,3313,3313,407,1255,11.09
Apr 24,21670,11.72,52995,52995,3503,21670,3670,3670,357,1082,11.72
Apr 25,25991,12.18,59196,59196,6201,25991,4045,4045,375,1505,12.18
Apr 26,28436,12.41,62859,62859,3663,28436,4271,4271,226,992,12.41
Apr 27,30816,12.73,66501,66501,3642,30816,4543,4543,272,990,12.73
Apr 28,35292,13.46,72899,72899,6398,35292,5063,5063,520,1402,13.46
Apr 29,39718,13.9,79361,79361,6462,39718,5511,5511,448,1588,13.9
Apr 30,43544,14.11,85380,85380,6019,43544,5901,5901,390,1803,14.11
May 01,47660,14.42,92109,92109,6729,47660,6410,6410,509,2104,14.42
May 02,48872,14.15,96559,96559,4450,48872,6750,6750,340,2898,14.15
May 03,51131,14.05,101147,101147,4588,51131,7025,7025,275,2054,14.05
May 04,55108,13.81,108266,108266,7119,55108,7343,7343,318,2824,13.81
May 05,58573,14.11,114715,114715,6449,58573,7921,7921,578,2406,14.11
May 06,66653,14.32,126611,126611,11896,66653,8588,8588,667,3149,14.32
May 07,71155,14.24,135693,135693,9082,71155,9188,9188,600,3980,14.24
